	WT	WT	WT	"aRFP control"	"aRFP control"	"aRFP control"	ispD	ispD	ispD	ispG	ispG	ispG
15	1.62475	1.62475	1.64375	1.63675	1.63475	1.58375	1.58975	1.62775	1.64375	1.59175	1.59775	1.55375
15.16667	1.62475	1.62775	1.64275	1.62775	1.63975	1.57775	1.59175	1.63575	1.64875	1.60075	1.59975	1.56275
15.33333	1.6215	1.6295	1.6425	1.6365	1.6445	1.5695	1.5945	1.6395	1.6525	1.6055	1.6005	1.5745
15.5	1.6235	1.6285	1.6475	1.6165	1.6515	1.5595	1.5935	1.6455	1.6465	1.6035	1.6085	1.5725
15.66667	1.6235	1.6285	1.6435	1.6115	1.6585	1.5465	1.5915	1.6465	1.6465	1.6105	1.6115	1.5755
15.83333	1.62075	1.62875	1.64775	1.60575	1.65775	1.53975	1.59575	1.65075	1.64475	1.61475	1.61775	1.57675
16	1.6225	1.6265	1.6415	1.6005	1.6595	1.5275	1.5985	1.6525	1.6495	1.6205	1.6165	1.5735
16.16667	1.61975	1.62775	1.64175	1.58775	1.66475	1.51775	1.59475	1.65675	1.64375	1.61875	1.61875	1.56475
16.33333	1.61475	1.62475	1.64175	1.58075	1.66875	1.50675	1.59175	1.65975	1.64075	1.62475	1.61975	1.57175
16.5	1.61575	1.62075	1.64175	1.57475	1.67075	1.49775	1.59075	1.65775	1.63675	1.62775	1.62075	1.56975
16.66667	1.6155	1.6195	1.6405	1.5705	1.6695	1.4895	1.5875	1.6575	1.6285	1.6275	1.6205	1.5665
16.83333	1.6165	1.6145	1.6335	1.5645	1.6675	1.4815	1.5885	1.6515	1.6335	1.6335	1.6225	1.5645
17	1.60875	1.61575	1.63475	1.54775	1.67275	1.47475	1.58275	1.65475	1.62575	1.63275	1.62375	1.56275
17.16667	1.60475	1.61175	1.63075	1.53975	1.67275	1.46575	1.57775	1.65275	1.62075	1.63575	1.62275	1.56575
17.33333	1.6015	1.6055	1.6275	1.5315	1.6725	1.4555	1.5745	1.6505	1.6165	1.6375	1.6205	1.5605
